mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
4093826,Twin Peaks,8.5,173,tv series,"[""Crime"", ""Drama"", ""Fantasy"", ""Mystery"", ""Thriller""]",2017-2017,"[""English"", ""French""]",https://m.media-amazon.com/images/M/MV5BMjA5MTkzNTY5Ml5BMl5BanBnXkFtZTgwNjU4MzY1MTI@.jpg,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,Null,TRUE,2017
0088509,Dragon Ball,8.5,174,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Comedy"", ""Fantasy"", ""Sci-Fi""]",1986-1989,"[""Japanese""]",https://m.media-amazon.com/images/M/MV5BMjRlYTYyMDUtOGY5MC00MmFiLTljOTMtM2QzOWZjMWViN2FiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",https://www.youtube.com/watch?v=bFLt45xK3kU,TRUE,1986
0863046,Flight of the Conchords,8.5,175,tv series,"[""Comedy"", ""Music"", ""Musical""]",2007-2009,"[""English""]",https://m.media-amazon.com/images/M/MV5BNTM4M2VhY2UtZTJmMi00YmFjLTk4OWItMzU2ZDA3NTUxZjYxXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",Null,TRUE,2007
7562112,Pose,8.6,176,tv series,"[""Drama""]",2018-2021,"[""English""]",https://m.media-amazon.com/images/M/MV5BMjQ2ZDMzNmMtZWZmZC00MTFjLWFiMTMtNzJjY2Q3ZjQ3MmI0XkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism.",Null,TRUE,2018
1305826,Adventure Time,8.6,177,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Comedy"", ""Family"", ""Fantasy"", ""Sci-Fi""]",2010-2018,"[""English"", ""Korean""]",https://m.media-amazon.com/images/M/MV5BZGY2ZGFkYjctOWY2Ni00MGQ5LWE4OTItNjJhNzA5MWFmMjk1XkEyXkFqcGdeQXVyNTgyNTA4MjM@.jpg,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",https://www.youtube.com/watch?v=-e_Q154xjts,TRUE,2010
6108262,Black Sun,8.8,178,tv series,"[""Crime"", ""Drama"", ""Thriller""]",2017-,"[""Serbian"", ""Russian"", ""Macedonian"", ""German"", ""Slovenian""]",https://m.media-amazon.com/images/M/MV5BYjAzMzc3OTMtZTAzNi00OWI0LWJmOGEtYjI3MWZmY2IzNDkxXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@.jpg,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",Null,TRUE,2017
0280249,Dragon Ball,8.5,179,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Fantasy"", ""Sci-Fi"", ""Thriller""]",1995-2003,"[""English"", ""Japanese""]",https://m.media-amazon.com/images/M/MV5BNDYyNTJkNmItYjgxNC00ODliLTg2MGMtZjkxNjEwYzdjNjUxXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",https://www.youtube.com/watch?v=bFLt45xK3kU,TRUE,1995
5897304,Mob Psycho 100,8.6,180,tv series,"[""Animation"", ""Action"", ""Comedy"", ""Fantasy"", ""Horror""]",2016-,"[""Japanese""]",https://m.media-amazon.com/images/M/MV5BZmE1NjIyNjYtMTVmMy00M2YyLTljMjMtZGQwYmUxOTU4NjRlXkEyXkFqcGdeQXVyNjc3OTE4Nzk@.jpg,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",Null,TRUE,2016
0086831,"Yes, Prime Minister",8.6,181,tv series,"[""Comedy""]",1986-1987,"[""English""]",https://m.media-amazon.com/images/M/MV5BZDAyOTQ5YWUtNjNiZS00NmJiLTljNDItMzU2YWNjMjk4MTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,Null,TRUE,1986
4158110,Mr. Robot,8.5,182,tv series,"[""Crime"", ""Drama"", ""Thriller""]",2015-2019,"[""English"", ""Swedish"", ""Danish"", ""Chinese"", ""Persian"", ""Spanish"", ""Samoan"", ""Arabic"", ""German""]",https://m.media-amazon.com/images/M/MV5BMzgxMmQxZjQtNDdmMC00MjRlLTk1MDEtZDcwNTdmOTg0YzA2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@.jpg,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",Null,TRUE,2015
0487831,The IT Crowd,8.5,183,tv series,"[""Comedy""]",2006-2013,"[""English""]",https://m.media-amazon.com/images/M/MV5BMjE5MThjMzAtNWVmNC00YThkLTlmNzktMTM3Yzk4YTZhMTgwXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",Null,TRUE,2006
0094517,Mystery Science Theater 3000,8.5,184,tv series,"[""Comedy"", ""Sci-Fi""]",1988-1999,"[""English""]",https://m.media-amazon.com/images/M/MV5BMTc4Nzc0Mzc5M15BMl5BanBnXkFtZTcwMDYzNTYyMQ@@.jpg,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",https://www.youtube.com/watch?v=IY3shxrxelI,TRUE,1988
0047708,Alfred Hitchcock Presents,8.5,185,tv series,"[""Comedy"", ""Crime"", ""Drama"", ""Horror"", ""Mystery"", ""Thriller""]",1955-1962,"[""English""]",https://m.media-amazon.com/images/M/MV5BOWQ1OGI0ZTItOTNkYi00NWFhLWE3ZWYtODVmMjkzMmM1NDYwXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",Null,TRUE,1955
0237123,Coupling,8.5,186,tv series,"[""Comedy"", ""Romance""]",2000-2004,"[""English""]",https://m.media-amazon.com/images/M/MV5BMTQzMDk1ODI2M15BMl5BanBnXkFtZTYwNjMyNDk4.jpg,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,Null,TRUE,2000
0118273,Brass Eye,8.6,187,tv series,"[""Comedy""]",1997-2001,"[""English""]",https://m.media-amazon.com/images/M/MV5BOGRjYzI3OGEtZDFmNi00OWQxLWFjODgtZDUyNWMxYjI4MjA5XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"Controversal spoof of current affairs television, and the role of celebrity in the UK.",Null,TRUE,1997
0421357,Fullmetal Alchemist,8.5,188,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Sci-Fi""]",2003-2004,"[""Japanese""]",https://m.media-amazon.com/images/M/MV5BZDMwZjg5ODgtMjVhMS00ZmVkLWI2YTMtMmQzZDI3ZjMwMDIwXkEyXkFqcGdeQXVyMzgxODM4NjM@.jpg,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.",https://www.youtube.com/watch?v=2Dsa8j_usqI,TRUE,2003
4647692,Letterkenny,8.6,189,tv series,"[""Comedy""]",2016-,"[""English""]",https://m.media-amazon.com/images/M/MV5BMzRjOWYyNDUtYTJhMC00ZmZmLThlYmYtOWJkMzk4MGQ2NDFhXkEyXkFqcGdeQXVyMjQyMDc5MA@@.jpg,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",Null,TRUE,2016
0106028,Homicide: Life on the Street,8.6,190,tv series,"[""Crime"", ""Drama"", ""Mystery"", ""Thriller""]",1993-1999,"[""English""]",https://m.media-amazon.com/images/M/MV5BYTVmZTRhNWItNmQ3Yi00MzNiLWJiZTctOWMyOWRlMDY4YWMyXkEyXkFqcGdeQXVyNjc3MjQzNTI@.jpg,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,Null,TRUE,1993
0436992,Doctor Who,8.6,191,tv series,"[""Adventure"", ""Drama"", ""Family"", ""Mystery"", ""Sci-Fi""]",2005-,"[""English""]",https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Null,TRUE,2005
4082744,Detectorists,8.6,192,tv series,"[""Comedy""]",2014-2017,"[""English""]",https://m.media-amazon.com/images/M/MV5BZGUyOWJiYTUtN2E0Ni00MGUwLTk4ZjktYzc3ZmRkNzVlNTU0XkEyXkFqcGdeQXVyMTExNDQ2MTI@.jpg,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",Null,TRUE,2014
2701582,Endeavour,8.6,193,tv series,"[""Crime"", ""Drama"", ""Mystery""]",2012-,"[""English""]",https://m.media-amazon.com/images/M/MV5BYjRkZTRkNDUtMTliMC00MjAzLTg4MDUtNjBmODYxMmFkZGU3XkEyXkFqcGdeQXVyMjExMjk0ODk@.jpg,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",Null,TRUE,2012
