mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
1392190,Mad Max: Fury Road,8.1,212,movie,"[""Action"", ""Adventure"", ""Sci-Fi"", ""Thriller""]",15 May 2015 (India),"[""English"", ""Russian""]",https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",https://www.youtube.com/watch?v=hEJnMQG9ev8,TRUE,2015
52618,Ben-Hur,8.1,213,movie,"[""Adventure"", ""Drama"", ""History""]",18 Nov 1959 (Canada),"[""English""]",https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",Null,TRUE,1959
1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,214,movie,"[""Adventure"", ""Fantasy"", ""Mystery""]",15 Jul 2011 (India),"[""English"", ""Latin""]",https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",https://www.youtube.com/watch?v=5NYt1qirBWg,TRUE,2011
405159,Million Dollar Baby,8.1,215,movie,"[""Drama"", ""Sport""]",11 Mar 2005 (India),"[""English"", ""Irish""]",https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@.jpg,A determined woman works with a hardened boxing trainer to become a professional.,Null,TRUE,2005
46268,The Wages of Fear,8.1,216,movie,"[""Adventure"", ""Drama"", ""Thriller""]",23 Sep 1955 (India),"[""French"", ""English"", ""Spanish"", ""German"", ""Italian"", ""Russian""]",https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Null,TRUE,1955
7019842,96,8.6,217,movie,"[""Drama"", ""Romance""]",04 Oct 2018 (India),"[""Tamil""]",https://m.media-amazon.com/images/M/MV5BZTM1MGM3NjgtZjE4Mi00ZTNlLWI3ODAtNTViZjFmMDc3MjlhXkEyXkFqcGdeQXVyOTA3MTM0MTM@.jpg,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,https://www.youtube.com/watch?v=r0synl-lI4I,TRUE,2018
4016934,The Handmaiden,8.1,218,movie,"[""Drama"", ""Romance"", ""Thriller""]",25 Aug 2016 (India),"[""Korean"", ""Japanese""]",https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",https://www.youtube.com/watch?v=whldChqCsYk,TRUE,2016
92005,Stand by Me,8.1,219,movie,"[""Adventure"", ""Drama""]",22 Aug 1986 (Canada),"[""English""]",https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",https://www.youtube.com/watch?v=rsgrlyX88dg,TRUE,1986
74958,Network,8.1,220,movie,"[""Drama""]",27 Nov 1976 (USA),"[""English""]",https://m.media-amazon.com/images/M/MV5BZGNjYjM2MzItZGQzZi00NmY3LTgxOGUtMTQ2MWQxNWQ2MmMwXkEyXkFqcGdeQXVyNzM0MTUwNTY@.jpg,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Null,TRUE,1976
3315342,Logan,8.1,221,movie,"[""Action"", ""Drama"", ""Sci-Fi"", ""Thriller""]",03 Mar 2017 (India),"[""English"", ""Spanish""]",https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",https://www.youtube.com/watch?v=Div0iP65aZo,TRUE,2017
61512,Cool Hand Luke,8.1,222,movie,"[""Crime"", ""Drama""]",01 Nov 1967 (Turkey),"[""English""]",https://m.media-amazon.com/images/M/MV5BOWFlNzZhYmYtYTI5YS00MDQyLWIyNTUtNTRjMWUwNTEzNjA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@.jpg,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Null,TRUE,1967
1954470,Gangs of Wasseypur,8.2,223,movie,"[""Action"", ""Comedy"", ""Crime"", ""Drama"", ""Thriller""]",22 Jun 2012 (India),"[""Hindi""]",https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@.jpg,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",https://www.youtube.com/watch?v=j-AkWDkXcMY,TRUE,2012
1028532,Hachi: A Dog's Tale,8.1,224,movie,"[""Biography"", ""Drama"", ""Family""]",04 Oct 2017 (India),"[""English"", ""Japanese""]",https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,A college professor bonds with an abandoned dog he takes into his home.,https://m.youtube.com/watch?v=MwVcvtaZj78,TRUE,2017
113247,La Haine,8.1,225,movie,"[""Crime"", ""Drama""]",31 May 1995 (France),"[""French""]",https://m.media-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@.jpg,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Null,TRUE,1995
53198,The 400 Blows,8.1,226,movie,"[""Crime"", ""Drama""]",03 Jun 1959 (France),"[""French"", ""English""]",https://m.media-amazon.com/images/M/MV5BYTQ4MjA4NmYtYjRhNi00MTEwLTg0NjgtNjk3ODJlZGU4NjRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A young boy, left without attention, delves into a life of petty crime.",Null,TRUE,1959
91763,Platoon,8.1,227,movie,"[""Drama"", ""War""]",13 Feb 1989 (India),"[""English"", ""Vietnamese""]",https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Null,TRUE,1989
5323662,A Silent Voice: The Movie,8.2,228,movie,"[""Animation"", ""Drama""]",05 Jun 2019 (India),"[""Japanese"", ""Japanese Sign Language""]",https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",https://www.youtube.com/watch?v=E7utbHbxDAM,TRUE,2019
1895587,Spotlight,8.1,229,movie,"[""Biography"", ""Crime"", ""Drama""]",19 Feb 2016 (India),"[""English""]",https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@.jpg,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",https://www.youtube.com/watch?v=EwdCIpbTN5g,TRUE,2016
198781,"Monsters, Inc.",8.1,230,movie,"[""Animation"", ""Adventure"", ""Comedy"", ""Family"", ""Fantasy""]",2002 (India),"[""English""]",https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@.jpg,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",https://www.youtube.com/watch?v=6tCxnHCqqxg,TRUE,2002
32976,Rebecca,8.1,231,movie,"[""Drama"", ""Mystery"", ""Romance"", ""Thriller""]",12 Apr 1940 (USA),"[""English"", ""French""]",https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,https://www.youtube.com/watch?v=LFVhB54UqvQ,TRUE,1940
